X	X.1	K0.1radni.4zima.DF
11	45	1,971746
12	00	1,854964
12	15	1,858186
12	30	2,051895
12	45	1,881894
13	00	1,839383
13	15	1,94393
13	30	1,925371
13	45	1,972704
14	00	2,083521
14	15	2,030919
14	30	2,036149
14	45	2,041686
15	00	2,104593
15	15	2,027359
15	30	1,926043
15	45	2,368277
16	00	3,669768
16	15	7,925846
16	30	20,641934
16	45	60,354903
17	00	110,933965
17	15	138,59987
17	30	156,814885
17	45	168,741451
18	00	190,313875
18	15	206,165532
18	30	223,111433
18	45	226,491596
19	00	226,899762
19	15	227,531483
19	30	227,511782
19	45	227,612907
20	00	227,634855
20	15	227,988581
20	30	228,448087
20	45	228,850645
21	00	229,593127
21	15	233,060146
21	30	236,881256
21	45	237,609975
22	00	236,726121
22	15	238,151682
22	30	237,938397
22	45	237,094714
23	00	236,648888
23	15	237,154119
23	30	238,078731
23	45	239,61099
X	X.1	K0.2subota.4zima
0	00	125,142805 
0	15	115,815264 
0	30	107,257040 
0	45	99,473081 
1	00	92,808947 
1	15	88,826669 
1	30	82,987370 
1	45	79,193492 
2	00	76,767266 
2	15	74,435454 
2	30	73,401645 
2	45	70,616315 
3	00	69,700687 
3	15	67,226655 
3	30	66,792077 
3	45	65,703111 
4	00	66,150088 
4	15	65,793734 
4	30	66,922975 
4	45	66,347724 
5	00	68,294635 
5	15	70,123102 
5	30	70,398880 
5	45	72,670674 
6	00	76,261170 
6	15	76,799392 
6	30	80,003202 
6	45	83,766618 
7	00	88,475655 
7	15	91,229707 
7	30	95,073736 
7	45	101,169856 
8	00	107,074728 
8	15	113,149515 
8	30	119,468060 
8	45	124,275548 
9	00	126,557311 
9	15	131,702904 
9	30	134,394628 
9	45	137,499013 
10	00	139,137586 
10	15	141,204297 
10	30	142,460124 
10	45	143,092728 
11	00	146,191792 
11	15	146,854486 
11	30	147,143505 
11	45	146,733631 
12	00	146,489648 
12	15	152,114941 
12	30	153,245990 
12	45	153,284800 
13	00	148,998468 
13	15	144,355790 
13	30	145,133326 
13	45	145,089913 
14	00	147,114723 
14	15	147,959769 
14	30	150,075060 
14	45	149,709328 
15	00	150,497463 
15	15	147,860475 
15	30	147,183310 
15	45	148,621483 
16	00	148,115718 
16	15	150,322198 
16	30	155,470840 
16	45	161,205903 
17	00	166,046422 
17	15	170,563090 
