;;K0,1radni,13prijelazno DF;P1,1radni,13prijelazno DF;P2,1radni,13prijelazno DF;JR0,1radni,13prijelazno DF;K0,2subota,13prijelazno;P1,2subota,13prijelazno;P2,2subota,13prijelazno;JRO,2subota,13prijelazno;K0,3nedjelja,13prijelazno;P1,3nedjelja,13prijelazno;P2,3nedjelja,13prijelazno;JRO,3nedjelja,13prijelazno
9;45;64,60566701;94,79376765;99,33478338;0,719532256;72,78323633;97,67920126;98,1904998;0,600803877;90,29702446;98,60726796;86,43006152;0,921903052
10;00;65,31481058;98,77235434;99,65845451;0,703576549;74,01490577;99,99002871;96,51423408;0,651298973;91,07204871;96,4268524;84,57908714;1,121967922
10;15;65,57593035;96,7338492;97,86944798;0,811669666;75,17960807;100;95,15550754;0,831622872;91,75226055;100;89,76458877;1,354618942
10;30;66,8115499;95,17239766;98,37560502;0,829224011;75,32894271;95,69698087;97,04062794;0,806149756;94,21497152;99,10734239;89,57583387;1,289940154
10;45;67,35949495;93,95654494;97,50228672;0,801185889;75,45106649;98,59048105;96,51038612;0,886402515;95,48366903;99,80945084;85,34033603;1,178421335
11;00;68,10581018;96,18310826;99,05806506;0,739014046;75,86146989;96,99927768;91,10569158;0,768642166;94,52015788;99,60074612;79,45024893;1,32377876
11;15;69,09434155;100;97,92021103;0,814511144;75,9155521;94,10428563;92,34326881;1,006415668;94,6833608;96,99654833;79,59348948;1,544495338
11;30;69,21916928;92,24752147;96,88467274;0,868277562;77,68955946;92,81841126;88,64603159;0,923817586;96,06899546;96,41074771;79,21201093;1,440086616
11;45;68,75256207;92,19441808;93,84541449;0,769129702;76,62928214;90,21321971;92,284554;1,11780651;94,57667001;94,42010847;78,58470805;2,022910413
12;00;68,30268679;89,67301558;92,86737378;0,803755406;75,30039156;88,33128964;81,96804045;0,992199211;92,31195114;94,68992466;78,07355219;2,149478578
12;15;67,95332155;89,20406352;93,3468534;0,815512286;74,09612001;85,69394494;81,27834154;1,203206783;86,44477656;94,42511258;77,51184149;2,438768892
12;30;68,43533785;88,93339031;93,21144496;0,88682119;74,68464057;85,4675773;86,49987297;1,348800718;84,14988574;93,9618501;77,98191628;2,671766104
12;45;68,64592338;89,2420068;93,54119511;1,028734762;75,22993011;83,04825565;84,00772589;1,38069001;83,18987072;94,51505707;79,06299833;2,30193433
13;00;68,04621971;90,46163684;92,65645738;0,903649216;74,32192467;79,93368418;85,17713002;1,5178872;80,0722818;94,70296385;81,50531548;1,697617091
13;15;67,78470741;90,90249522;88,82942353;0,871622883;74,08980818;78,50541557;82,02338444;2,459085323;76,79143942;91,72644544;81,39209839;2,096698518
13;30;67,76469059;90,18038358;86,89185687;0,872833824;75,06125252;77,89104399;81,2509543;2,056769022;74,03162551;91,28460264;80,70640195;1,743650291
13;45;68,3563698;90,04072764;87,75031198;0,817190263;74,18258146;76,65663812;75,36431502;1,773199669;72,94957325;91,38639465;80,00069352;1,668466059
14;00;68,50715279;89,90755412;86,88393411;0,836849543;73,12721814;74,41422627;75,09833602;2,1761939;71,1947999;92,0451845;81,31258087;1,652591213
14;15;69,31531709;90,09696775;84,76987177;0,947534261;73,00835156;73,06549643;70,83331623;2,253770147;71,69171039;92,69116399;78,61083592;1,553258059
14;30;69,93041771;88,586645;82,4190298;1,004605922;72,41379771;71,24308927;69,60851424;2,751666716;70,39836899;91,39521985;77,94335546;1,163689364
14;45;70,16089792;87,72850046;80,53283447;0,9311974;71,80159396;70,75599086;69,10110111;2,43012472;68,9360352;90,50532552;78,63637853;1,053840621
15;00;70,32805859;87,30624165;79,81531899;1,006995495;70,74079583;70,47731646;71,83740923;1,71264862;66,69530454;90,49506687;80,17615222;0,965135071
15;15;70,55686536;87,23738634;77,54144333;0,983718525;70,12536078;70,539574;69,72768314;1,809305141;66,17715209;89,67212142;78,15482547;0,915036871
15;30;70,99590403;86,24640616;77,34016496;0,986971011;71,3133394;69,44603533;66,67976941;1,638721156;66,32916975;90,23711115;78,3008606;0,797371851
15;45;70,93696737;85,55897803;75,61156707;0,881335764;72,00967564;68,85365511;68,30416713;1,450693998;65,89371739;89,51273678;76,11796759;0,87074883
16;00;70,46301807;85,71391713;76,46270204;0,846167365;69,81533156;67,71182221;67,0770538;1,527666823;65,10014877;88,73954749;76,57624589;1,272353024
16;15;69,43234942;82,85675759;76,81657937;0,886178299;69,26254067;67,0034063;64,91767357;1,606396287;64,65829992;90,96664075;76,64880257;1,432350698
