X	X.1	K0.1radni.4zima.DF
6	15	14,61757541
6	30	7,820485381
6	45	5,030592907
7	0	2,000288653
7	15	1,414089572
7	30	1,615911811
7	45	1,462707925
8	0	1,003727247
8	15	0,876774277
8	30	1,009454873
8	45	0,751524955
9	0	0,600807975
9	15	0,594974766
9	30	0,661970233
9	45	0,626805657
10	0	0,54083028
10	15	0,554382912
10	30	0,571596076
10	45	0,612667054
11	0	0,586149023
11	15	0,565682521
11	30	0,533495756
11	45	0,537400267
12	0	0,583656648
12	15	0,637154588
12	30	0,673038902
12	45	0,726431679
13	0	0,800264877
13	15	0,75660898
13	30	0,763749582
13	45	0,796903431
14	0	0,73852338
14	15	0,806690789
14	30	0,875764707
14	45	1,006564979
15	0	0,976084387
15	15	0,94359391
15	30	0,847195987
15	45	0,907020985
16	0	0,90629746
16	15	0,876508003
16	30	0,830528412
16	45	1,045702211
17	0	3,179097583
17	15	8,748870544
17	30	14,10366321
17	45	20,87866848
18	0	28,35137392
18	15	34,84231573
18	30	42,26196197
18	45	53,60884154
19	0	63,57934738
19	15	77,2565023
19	30	83,88276935
19	45	91,43406854
20	0	93,93358689
20	15	94,16178456
20	30	94,20211855
20	45	94,60214961
21	0	95,19280636
21	15	97,73763546
21	30	99,44405562
21	45	100
22	0	99,29954707
22	15	99,87501653
22	30	99,59467501
22	45	98,86534039
23	0	98,79846902
23	15	98,77251088
23	30	98,67152615
23	45	99,09356204
X	X.1	K0.2subota.4zima
0	0	64,26361878
0	15	59,47371864
0	30	55,07887992
0	45	51,08164354
1	0	47,65946224
1	15	45,61447375
1	30	42,61586361
1	45	40,66762272
2	0	39,42170161
2	15	38,22426419
2	30	37,69338023
2	45	36,26305121
3	0	35,79285583
3	15	34,52238528
3	30	34,29921979
3	45	33,74001148
4	0	33,96954413
4	15	33,78654841
4	30	34,36643883
4	45	34,07103462
5	0	35,0708168
5	15	36,00977535
5	30	36,1513935
5	45	37,31801034
6	0	39,16181003
6	15	39,43819902
6	30	41,08342685
6	45	43,01602482
7	0	45,43422024
7	15	46,84848731
7	30	48,82248185
7	45	51,95297531
8	0	54,98525865
8	15	58,10479713
8	30	61,34951078
8	45	63,81826299
9	0	64,98999913
9	15	67,63237579
9	30	69,01463604
9	45	70,60880691
10	0	71,45025065
10	15	72,5115528
10	30	73,15644795
10	45	73,4813042
11	0	75,07274261
11	15	75,41305075
11	30	75,56146845
11	45	75,35098901
12	0	75,22569831
12	15	78,1144116
12	30	78,69523047
12	45	78,71516027
13	0	76,51403328
13	15	74,12991468
13	30	74,52919674
13	45	74,5069032
14	0	75,54668825
14	15	75,9806382
14	30	77,06688726
14	45	76,87907573
15	0	77,28380061
15	15	75,92964852
15	30	75,5819092
15	45	76,32044308
16	0	76,06072148
16	15	77,19379813
16	30	79,83774052
16	45	82,78282315
17	0	85,26853752
17	15	87,58794717
17	30	90,98821648
17	45	94,14251939
18	0	95,908579
18	15	97,04491035
18	30	98,68231569
18	45	99,20866422
19	0	98,08608037
19	15	98,3043294
19	30	99,17907096
19	45	97,55846396
20	0	98,65566851
20	15	99,09466895
20	30	97,55928919
20	45	95,7241331
21	0	93,68992036
21	15	95,66202771
21	30	98,36601215
21	45	100
22	0	99,39252111
22	15	99,42163269
22	30	96,99088524
22	45	92,91853236
23	0	88,09192513
23	15	84,24384078
23	30	78,73607398
23	45	74,38978417
X	X.1	P1.2subota.4zima
0	0	43,06221366
0	15	42,00589327
0	30	40,52707885
0	45	40,06695842
1	0	39,36824047
1	15	39,02825154
1	30	38,89005698
1	45	38,64315642
2	0	38,54081717
2	15	37,47714699
2	30	37,95899725
2	45	37,85844805
3	0	37,61462389
3	15	37,81126475
3	30	37,74763784
3	45	38,49920173
4	0	38,45496485
4	15	37,82186698
4	30	38,10925369
4	45	38,11218116
5	0	36,77156941
5	15	36,43821263
5	30	37,20925862
5	45	37,90237891
6	0	38,40406874
6	15	40,91838094
6	30	45,2106014
6	45	44,81713012
7	0	45,96625724
7	15	49,49515523
7	30	51,36966699
7	45	54,29792915
8	0	56,86801746
