;;K0,1radni,2ljeto DF;P1,1radni,2ljeto DF;P2,1radni,2ljeto DF;JR0,1radni,2ljeto DF;K0,2subota,2ljeto;P1,2subota,2ljeto;P2,2subota,2ljeto;JRO,2subota,2ljeto;K0,3nedjelja,2ljeto;P1,3nedjelja,2ljeto;P2,3nedjelja,2ljeto;JRO,3nedjelja,2ljeto
9;45;64,60566701;94,79376765;99,33478338;0,719532256;72,72265899;98,90264714;96,68739463;0,849605535;87,26102292;84,67167708;77,12773836;1,412375644
10;00;65,31481058;98,77235434;99,65845451;0,703576549;72,75229484;99,95260721;93,16636623;0,80876347;90,55069154;86,67549096;78,82066957;1,313104782
10;15;65,57593035;96,7338492;97,86944798;0,811669666;73,79934879;99,37268345;95,4563488;0,945978875;93,46288725;86,38081513;81,46766271;1,41590125
10;30;66,8115499;95,17239766;98,37560502;0,829224011;74,37128397;99,99465055;93,59596425;0,979679573;95,60424187;87,02783046;82,07408316;1,3677774
10;45;67,35949495;93,95654494;97,50228672;0,801185889;75,75855639;100;92,40634582;1,074781821;94,56374567;86,61373449;81,91787014;1,431378096
11;00;68,10581018;96,18310826;99,05806506;0,739014046;76,49642936;98,82841614;95,36258994;1,04215483;96,37233425;87,06425425;80,56144811;1,474262768
11;15;69,09434155;100;97,92021103;0,814511144;77,73164969;96,66828765;94,49099225;1,201984699;96,60558845;88,90977732;79,61704126;1,783971895
11;30;69,21916928;92,24752147;96,88467274;0,868277562;79,23592755;95,06305407;95,6729628;1,532674564;95,58517524;89,24224644;80,74591013;1,817345414
11;45;68,75256207;92,19441808;93,84541449;0,769129702;79,74666963;94,07615656;92,45274564;1,583179999;94,21698393;88,51043807;79,71239177;1,927229561
12;00;68,30268679;89,67301558;92,86737378;0,803755406;79,30268031;88,37714495;87,87531021;1,499905893;91,97074099;88,65515634;80,50914955;1,92535229
12;15;67,95332155;89,20406352;93,3468534;0,815512286;77,05502425;85,17277461;85,60340703;1,628268861;88,13374889;89,82801101;81,33065632;2,253385571
12;30;68,43533785;88,93339031;93,21144496;0,88682119;78,07508863;83,44459954;87,92559863;2,063319886;85,4621349;89,30920137;82,10459835;2,173521951
12;45;68,64592338;89,2420068;93,54119511;1,028734762;79,41010255;82,10954274;86,51659199;2,031460233;82,94172171;88,34316068;80,94312156;1,819048855
13;00;68,04621971;90,46163684;92,65645738;0,903649216;79,27483825;80,81736514;87,8039049;1,361559462;81,54659975;90,05420535;82,10215311;1,538179111
13;15;67,78470741;90,90249522;88,82942353;0,871622883;78,13862405;80,5101208;85,58502672;1,346006039;79,73293702;90,19234623;82,71973663;1,425343925
13;30;67,76469059;90,18038358;86,89185687;0,872833824;78,31022031;79,27769185;84,25654267;1,576324416;77,31975109;88,82648571;79,56150569;1,05912705
13;45;68,3563698;90,04072764;87,75031198;0,817190263;76,77956458;79,41161496;80,64248188;1,331247805;76,49969379;87,51913065;82,20171426;1,026014477
14;00;68,50715279;89,90755412;86,88393411;0,836849543;76,25360022;76,57711638;83,03279207;1,354579151;75,00262906;88,36325721;81,85144008;0,885302248
14;15;69,31531709;90,09696775;84,76987177;0,947534261;76,00517327;77,01597541;83,06656924;1,064470997;75,46277226;89,37422769;83,56717026;0,853350965
14;30;69,93041771;88,586645;82,4190298;1,004605922;75,08188341;76,62611696;82,66762153;0,841306501;74,15338193;89,58757194;83,03030776;0,881259613
14;45;70,16089792;87,72850046;80,53283447;0,9311974;75,89909326;76,47852275;82,88190801;0,991729722;73,18480564;89,88045108;82,71450761;0,868353327
15;00;70,32805859;87,30624165;79,81531899;1,006995495;75,02147025;76,52372021;80,48000257;0,985511501;71,89668065;92,53749018;82,11770307;0,839815411
15;15;70,55686536;87,23738634;77,54144333;0,983718525;75,27314768;75,25936172;80,31861884;0,922117134;70,55760132;92,07294557;82,90483934;1,055415865
15;30;70,99590403;86,24640616;77,34016496;0,986971011;74,90611226;75,118946;77,63212893;0,90994145;70,88510216;91,37758298;83,06059073;0,963163798
15;45;70,93696737;85,55897803;75,61156707;0,881335764;74,93119044;74,65746489;78,0297248;0,962767062;70,32998735;90,90321626;81,54234337;0,874507841
16;00;70,46301807;85,71391713;76,46270204;0,846167365;73,23344985;76,52391196;76,80692636;1,064440724;68,6311007;90,62772605;81,7771679;1,192379225
16;15;69,43234942;82,85675759;76,81657937;0,886178299;73,55511426;76,07559551;79,14907346;0,83231763;68,04223075;88,90120535;82,57425861;1,277934221
16;30;69,8869655;80,28456615;75,67190959;0,871895662;73,33288818;73,36839715;76,73938613;0,908874201;68,41354109;90,47808259;83,81878416;1,109227443
16;45;69,90348354;79,79592077;75,378422;0,860682294;74,75846399;74,1873155;76,07289888;1,165483481;68,21131262;90,86524707;83,19697602;1,34233072
17;00;70,52282304;79,25162123;78,2938348;0,758989454;74,3679478;73,31068159;77,14736883;1,150741394;69,4791076;88,88816679;82,00648364;1,326146808
17;15;70,59222444;79,25118959;83,18855512;0,765042113;74,33588456;74,00596026;78,85768042;0,951730073;70,39656745;89,02434451;82,88289929;1,297527042
17;30;70,93992839;79,61049737;79,13043905;0,77090174;74,68578568;75,08032719;77,86057329;1,037448681;72,06975789;90,76468903;82,61815549;1,158795814
17;45;71,73849261;79,352996;76,83145768;0,752612079;75,71353501;77,16163241;78,75480429;1,009487475;73,51624717;91,14745916;84,7270859;1,307492419
18;00;73,44921902;78,37292595;76,14426741;0,768010369;75,7541826;75,85286561;78,55140305;1,035370693;75,35300213;90,79870676;86,22709745;1,437299622
18;15;74,76815306;78,11416482;75,25465778;1,040345642;77,68565698;76,67905587;78,35434017;1,528527873;76,51037792;91,34203869;85,07904152;1,726945495
18;30;75,72284627;77,62167179;74,83037864;1,865906159;80,60407986;79,29296089;80,53324623;2,725063304;77,64868901;94,03364206;85,59802073;3,434800612
18;45;77,10518675;77,33115292;76,23747973;4,516608591;81,03454938;79,85750006;82,13316311;6,5432212;80,55269199;94,25722304;87,76825569;8,104073369
19;00;79,09950885;76,66306459;76,904916;10,63353474;83,37522349;80,71317131;83,38634855;11,49141125;82,60972117;96,31783993;89,03580402;12,72473766
19;15;81,59390261;74,99845508;74,87235563;17,30966435;86,08706851;81,28697614;88,01442739;17,72160508;83,97692377;97,37492438;92,29862369;18,19250278
19;30;84,57692074;74,64712385;74,37339783;25,844385;88,23811705;84,03838123;91,0876773;25,13943104;86,47873092;99,89749136;96,37120233;24,20757392
19;45;86,79073027;73,02931501;74,84541752;35,55568763;89,94989906;84,38736653;89,76119397;35,21789784;88,48901728;100;100;34,62444627
20;00;90,45495581;70,26192089;71,69299839;52,94363249;92,83353235;82,17165144;88,31221992;53,63403155;91,25511592;99,51588656;98,45423665;51,42243685
20;15;93,12213636;61,02790861;65,42820651;80,83142522;95,17928514;71,9833638;80,69033699;81,61098507;93,18201666;89,3918365;90,58217728;77,31280901
20;30;95,32894589;57,56169771;61,4684637;93,55343545;97,92131016;67,71938914;76,43817521;93,2569848;95,66189011;86,0930999;85,37920499;93,08800277
20;45;95,78492064;56,63814316;60,3339231;93,93290318;95,87694521;65,50808194;73,92261889;93,68104122;95,32784139;84,45935996;84,797458;93,66671954
21;00;95,66310498;55,06075221;58,01714859;94,48838468;97,31183902;64,20656001;71,27611051;94,66877804;94,09689506;83,69836797;81,52896727;94,63933331
21;15;98,25626244;53,69176312;51,61542946;97,38456657;99,28738222;63,29693453;64,27357679;97,58432396;97,89251695;81,38227573;74,30256976;97,55131994
21;30;100;52,43252379;47,69012625;99,69711393;100;62,28710519;60,69919894;100;99,35130497;80,535451;69,27447156;100
21;45;98,84449451;50,80842981;48,75131243;100;98,06947318;62,8853341;56,75994443;99,71762295;100;79,08240709;66,27842967;98,94743306
22;00;96,42503955;50,03490617;43,52964723;98,76831061;96,78077283;61,89754665;55,17148408;98,05269141;99,51036979;78,48038437;62,56540258;98,63504843
22;15;92,39462024;48,87974668;41,40346085;99,08386472;92,40078868;60,86046608;52,66505679;97,98428169;94,38128499;77,22535317;59,67326396;99,56290796
22;30;86,76909227;47,41122071;39,41593777;98,75007493;85,92266497;58,13435043;51,45779393;97,72109252;89,45204791;74,59295572;57,55119526;98,58220932
22;45;79,91534093;45,32897543;38,20958045;97,64957527;78,82616178;55,9024149;49,90112884;96,65838426;81,89599762;71,47222011;55,02607542;97,83464679
23;00;72,96955913;43,69053969;37,44139826;97,7443967;71,97745133;53,77262783;50,95782504;97,00008125;74,32018983;68,16676477;55,46384399;97,85488509
23;15;66,78592822;42,14405881;36,32090855;98,09541981;66,7210219;50,96770365;49,24471808;97,1962864;68,04585753;67,75987127;55,93378963;97,79778656
23;30;60,80704709;41,03899296;36,90335563;97,87396817;62,45190623;50,40986358;48,38931189;97,53701906;61,73875301;65,7580928;52,05124056;97,85063904
23;45;55,75642144;40,09010644;35,50681255;98,02171438;58,66689271;48,91582533;46,16001868;97,89492822;56,99254654;62,86995616;51,94361346;97,73846514
